date,open,high,low,mstr
2022-12-21 17:00:00,169.62,170.08,169.0,170.08
2022-12-21 18:00:00,170.08,170.08,168.06,168.48
2022-12-21 19:00:00,168.68,169.75,168.21,168.65
2022-12-21 20:00:00,168.47,169.12,168.25,168.71
2022-12-22 15:00:00,163.0,164.23,162.29,162.38
2022-12-22 16:00:00,162.38,163.56,161.68,163.29
2022-12-22 17:00:00,163.99,164.38,160.91,162.17
2022-12-22 18:00:00,162.17,168.87,160.91,162.33
2022-12-22 19:00:00,162.33,163.98,162.33,163.98
2022-12-22 20:00:00,163.98,167.33,163.98,166.17
2022-12-23 15:00:00,162.0,165.78,161.24,163.595
2022-12-23 16:00:00,163.595,164.49,162.32,162.51
2022-12-23 17:00:00,162.51,163.98,162.48,163.34
2022-12-23 18:00:00,163.34,163.57,163.05,163.05
2022-12-23 19:00:00,163.05,163.61,163.05,163.26
2022-12-23 20:00:00,163.25,163.52,161.91,163.1
2022-12-27 15:00:00,157.51,157.51,154.92,154.93
2022-12-27 16:00:00,154.93,154.93,152.32,152.35
2022-12-27 17:00:00,152.35,152.95,149.16,150.51
2022-12-27 18:00:00,150.51,150.57,146.75,148.64
2022-12-27 19:00:00,148.64,149.2,147.29,147.61
2022-12-27 20:00:00,147.63,148.33,145.93,147.92
2022-12-28 15:00:00,148.02,148.72,141.82,142.04
2022-12-28 16:00:00,141.93,143.21,140.55,141.0
2022-12-28 17:00:00,141.0,143.32,140.76,143.32
2022-12-28 18:00:00,143.32,143.32,140.01,140.68
2022-12-28 19:00:00,140.68,141.325,140.47,140.61
2022-12-28 20:00:00,140.61,140.61,137.91,138.63
2022-12-29 15:00:00,140.33,140.33,135.17,135.88
2022-12-29 16:00:00,135.88,136.68,134.4,135.77
2022-12-29 17:00:00,135.77,137.34,134.24,137.34
2022-12-29 18:00:00,137.06,137.62,135.93,136.12
2022-12-29 19:00:00,136.085,136.68,134.87,135.15
2022-12-29 20:00:00,135.19,138.82,135.19,136.64
2022-12-30 15:00:00,135.79,139.97,135.16,139.0
2022-12-30 16:00:00,139.44,140.19,137.83,138.28
2022-12-30 17:00:00,138.28,138.28,136.855,136.88
2022-12-30 18:00:00,136.88,138.41,136.24,137.985
2022-12-30 19:00:00,137.86,137.99,136.86,137.295
2022-12-30 20:00:00,137.335,142.07,137.335,141.17
2023-01-03 15:00:00,143.29,144.37,142.64,144.04
2023-01-03 16:00:00,144.04,144.04,142.28,142.46
2023-01-03 17:00:00,142.46,142.82,139.61,140.25
2023-01-03 18:00:00,140.34,141.315,139.69,141.315
2023-01-03 19:00:00,141.315,142.8,140.23,141.865
2023-01-03 20:00:00,141.865,145.615,141.805,144.87
2023-01-04 15:00:00,150.21,155.39,147.3,154.0
2023-01-04 16:00:00,154.815,160.77,154.68,160.575
2023-01-04 17:00:00,160.48,163.32,159.76,162.75
2023-01-04 18:00:00,161.29,164.07,161.185,163.09
2023-01-04 19:00:00,162.805,163.22,158.81,161.98
2023-01-04 20:00:00,161.98,165.6,161.45,165.52
2023-01-05 15:00:00,153.61,157.98,153.61,156.37
2023-01-05 16:00:00,156.37,159.34,156.37,158.57
2023-01-05 17:00:00,158.46,158.99,157.57,157.57
2023-01-05 18:00:00,157.57,158.57,156.35,157.37
2023-01-05 19:00:00,157.37,157.53,155.58,157.18
2023-01-05 20:00:00,156.06,157.17,154.7,156.15
2023-01-06 15:00:00,147.41,154.24,147.41,154.24
2023-01-06 16:00:00,154.24,154.24,151.16,151.16
2023-01-06 17:00:00,151.7,153.35,151.19,152.54
2023-01-06 18:00:00,152.54,158.07,152.54,157.47
2023-01-06 19:00:00,157.47,158.96,156.77,158.43
2023-01-06 20:00:00,158.41,161.715,158.33,160.34
2023-01-09 15:00:00,175.32,177.32,170.86,173.0
2023-01-09 16:00:00,173.0,179.1,173.0,178.0
2023-01-09 17:00:00,178.0,180.64,177.01,179.57
2023-01-09 18:00:00,179.455,181.68,175.52,176.53
2023-01-09 19:00:00,176.53,177.36,172.96,172.96
2023-01-09 20:00:00,172.81,175.37,172.81,175.0
2023-01-10 15:00:00,172.095,177.49,172.095,175.815
2023-01-10 16:00:00,175.815,179.365,175.815,179.18
2023-01-10 17:00:00,178.98,181.44,177.85,180.48
2023-01-10 18:00:00,181.47,186.2,181.275,186.09
2023-01-10 19:00:00,186.39,187.19,185.01,186.49
2023-01-10 20:00:00,186.49,190.97,185.53,189.99
2023-01-11 15:00:00,194.46,196.44,184.99,185.01
2023-01-11 16:00:00,185.01,189.0,185.01,188.99
2023-01-11 17:00:00,188.99,188.99,187.77,188.51
2023-01-11 18:00:00,188.25,192.16,188.25,189.27
2023-01-11 19:00:00,189.27,192.0,188.29,191.81
2023-01-11 20:00:00,192.37,196.47,191.78,195.02
2023-01-12 15:00:00,190.935,200.07,190.935,195.06
2023-01-12 16:00:00,195.18,200.54,195.18,200.54
2023-01-12 17:00:00,200.72,205.87,198.725,205.38
2023-01-12 18:00:00,205.33,206.37,201.07,205.8
2023-01-12 19:00:00,205.8,209.4,205.8,206.62
2023-01-12 20:00:00,206.62,213.0,206.62,210.41
2023-01-13 15:00:00,212.01,221.71,212.01,218.46
2023-01-13 16:00:00,218.9,218.9,209.71,211.36
2023-01-13 17:00:00,211.36,215.43,211.36,212.01
2023-01-13 18:00:00,212.73,214.5,211.99,214.5
2023-01-13 19:00:00,214.5,215.92,213.04,215.92
2023-01-13 20:00:00,215.92,220.25,215.92,216.59
2023-01-17 15:00:00,226.98,232.54,225.25,226.98
2023-01-17 16:00:00,226.98,229.21,223.62,228.475
2023-01-17 17:00:00,228.93,232.16,226.65,231.63
2023-01-17 18:00:00,231.63,234.45,231.63,234.29
2023-01-17 19:00:00,234.29,238.18,233.65,235.96
2023-01-17 20:00:00,236.87,239.37,235.8,235.8
2023-01-18 15:00:00,239.73,241.86,220.6,222.28
2023-01-18 16:00:00,221.91,222.24,209.53,217.95
2023-01-18 17:00:00,220.26,225.25,218.6,219.49
2023-01-18 18:00:00,219.325,222.05,218.21,222.05
2023-01-18 19:00:00,221.55,222.9,220.27,220.27
2023-01-18 20:00:00,220.06,222.535,219.56,221.045
2023-01-19 15:00:00,221.37,226.47,219.83,219.83
