date,open,high,low,mstr
2025-04-15 14:00:00,314.94,315.75,309.31,311.0
2025-04-15 15:00:00,310.76,314.64,308.25,309.49
2025-04-15 16:00:00,309.92,313.79,309.575,311.04
2025-04-15 17:00:00,310.6,312.56,310.2,310.615
2025-04-15 18:00:00,310.335,310.92,306.97,308.685
2025-04-15 19:00:00,308.36,311.61,307.38,310.42
2025-04-16 14:00:00,307.915,317.25,307.71,314.02
2025-04-16 15:00:00,314.01,318.42,312.265,314.72
2025-04-16 16:00:00,314.45,317.32,312.55,314.56
2025-04-16 17:00:00,314.735,318.43,304.115,304.31
2025-04-16 18:00:00,304.81,312.72,304.81,305.6
2025-04-16 19:00:00,305.88,313.385,304.065,311.79
2025-04-17 14:00:00,314.93,315.66,306.095,311.15
2025-04-17 15:00:00,311.385,314.15,308.64,309.22
2025-04-17 16:00:00,309.49,315.25,308.65,313.18
2025-04-17 17:00:00,313.39,318.325,312.2,316.48
2025-04-17 18:00:00,316.51,319.18,314.88,315.185
2025-04-17 19:00:00,315.15,318.565,315.145,317.31
2025-04-21 14:00:00,317.98,330.77,316.64,325.015
2025-04-21 15:00:00,325.32,326.0,317.8,319.03
2025-04-21 16:00:00,318.83,323.43,311.16,312.29
2025-04-21 17:00:00,312.17,316.0,309.0,313.27
2025-04-21 18:00:00,312.89,316.06,312.72,314.645
2025-04-21 19:00:00,314.65,319.275,314.54,317.86
2025-04-22 14:00:00,338.545,348.045,336.77,344.92
2025-04-22 15:00:00,344.82,348.725,341.23,347.09
2025-04-22 16:00:00,346.97,349.095,342.89,346.1
2025-04-22 17:00:00,346.33,347.2,341.22,345.25
2025-04-22 18:00:00,345.3,349.1,344.71,348.235
2025-04-22 19:00:00,348.37,348.375,340.43,342.885
2025-04-23 14:00:00,347.22,351.2,342.77,346.09
2025-04-23 15:00:00,346.21,346.785,339.01,345.72
2025-04-23 16:00:00,345.84,350.72,344.84,349.11
2025-04-23 17:00:00,349.1,351.7,346.43,350.035
2025-04-23 18:00:00,350.22,352.44,347.51,348.57
2025-04-23 19:00:00,348.06,348.51,343.35,345.775
2025-04-24 14:00:00,347.35,350.26,345.21,348.44
2025-04-24 15:00:00,348.11,350.0,346.54,346.635
2025-04-24 16:00:00,347.09,350.01,346.99,348.7
2025-04-24 17:00:00,348.31,348.55,343.62,345.44
2025-04-24 18:00:00,345.61,347.11,344.535,346.085
2025-04-24 19:00:00,346.085,350.95,345.13,350.21
2025-04-25 14:00:00,360.31,367.98,360.31,365.09
2025-04-25 15:00:00,365.18,369.05,363.7,367.46
2025-04-25 16:00:00,367.34,369.68,366.44,368.625
2025-04-25 17:00:00,368.24,369.8,363.915,365.425
2025-04-25 18:00:00,365.51,373.29,365.45,371.63
2025-04-25 19:00:00,371.75,372.04,364.94,368.73
2025-04-28 14:00:00,361.64,366.35,359.49,362.425
2025-04-28 15:00:00,362.23,363.98,354.54,360.3
2025-04-28 16:00:00,359.8,363.31,356.06,361.41
2025-04-28 17:00:00,361.39,361.71,357.6,361.38
2025-04-28 18:00:00,361.045,363.46,359.53,363.34
2025-04-28 19:00:00,363.25,370.83,363.05,369.12
2025-04-29 14:00:00,371.39,379.03,370.52,378.11
