date,open,high,low,mstr
2023-02-07 18:00:00,286.03,286.03,271.06,274.11
2023-02-07 19:00:00,273.94,278.34,273.94,277.71
2023-02-07 20:00:00,277.71,284.61,277.15,283.62
2023-02-08 15:00:00,284.93,285.29,276.5,277.63
2023-02-08 16:00:00,277.63,277.63,271.92,276.71
2023-02-08 17:00:00,276.4,277.52,274.14,275.89
2023-02-08 18:00:00,275.89,278.35,273.86,273.9
2023-02-08 19:00:00,273.735,276.29,273.69,276.29
2023-02-08 20:00:00,276.18,278.33,274.1,275.985
2023-02-09 15:00:00,268.87,269.25,259.04,259.74
2023-02-09 16:00:00,259.74,264.68,259.46,260.12
2023-02-09 17:00:00,260.12,262.78,257.31,258.27
2023-02-09 18:00:00,258.27,260.8,256.465,259.04
2023-02-09 19:00:00,259.04,259.415,252.05,253.33
2023-02-09 20:00:00,253.33,253.33,245.55,249.62
2023-02-10 15:00:00,245.0,247.305,242.51,245.07
2023-02-10 16:00:00,245.07,247.21,245.07,245.58
2023-02-10 17:00:00,243.385,244.69,241.57,243.9
2023-02-10 18:00:00,243.9,245.84,242.09,242.26
2023-02-10 19:00:00,242.26,243.13,242.08,243.13
2023-02-10 20:00:00,243.13,245.02,243.13,243.545
2023-02-13 15:00:00,242.79,243.79,240.47,243.13
2023-02-13 16:00:00,243.13,244.81,241.6,242.96
2023-02-13 17:00:00,242.96,246.56,242.96,246.2
2023-02-13 18:00:00,246.2,249.2,245.85,248.735
2023-02-13 19:00:00,248.735,250.91,247.685,248.07
2023-02-13 20:00:00,248.07,249.64,247.475,248.83
2023-02-14 15:00:00,265.135,268.72,254.86,260.0
2023-02-14 16:00:00,260.0,262.72,256.57,258.56
2023-02-14 17:00:00,258.56,260.94,258.56,259.57
2023-02-14 18:00:00,259.57,266.98,259.57,266.36
2023-02-14 19:00:00,266.36,272.6,264.49,271.68
2023-02-14 20:00:00,271.68,276.65,270.82,271.71
2023-02-15 15:00:00,272.915,281.42,272.63,279.07
2023-02-15 16:00:00,276.925,283.26,276.925,281.98
2023-02-15 17:00:00,281.98,282.76,279.81,281.84
2023-02-15 18:00:00,282.28,282.98,279.33,282.93
2023-02-15 19:00:00,282.93,291.52,282.93,286.38
2023-02-15 20:00:00,288.05,299.42,287.72,298.37
2023-02-16 15:00:00,297.0,309.15,294.58,309.12
2023-02-16 16:00:00,310.095,314.99,301.22,302.54
2023-02-16 17:00:00,302.54,302.54,296.82,298.72
2023-02-16 18:00:00,298.72,298.72,293.11,297.2
2023-02-16 19:00:00,297.2,298.41,293.91,294.51
